epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,1081.84,0.75087,1.77315,0.61659,1.02788,0,0.79152,0.82287,0.84438,0.66923,0.76745,0.67454,0.67423,0.37799,0.9209,2.94608,0.81441,1.28823,0,0.000775822,0.000775822,0.000775822
56,1101.48,0.74399,1.72191,0.59345,1.0387,0,0.86301,0.78267,0.85467,0.68798,0.73618,0.65587,0.64661,0.35395,0.81273,3.23046,0.72818,1.19216,0,0.000759318,0.000759318,0.000759318
57,1121.18,0.72087,1.72603,0.57851,1.01207,0,0.94474,0.73648,0.86947,0.70328,0.76722,0.57032,0.6214,0.36046,0.7597,3.24449,0.7636,1.15664,0,0.000742815,0.000742815,0.000742815
58,1140.82,0.70401,1.74785,0.56825,1.02642,0,0.8596,0.7956,0.85765,0.69111,0.71072,0.63664,0.64595,0.37624,0.77565,3.07614,0.78219,1.17913,0,0.000726312,0.000726312,0.000726312
59,1160.56,0.69898,1.69839,0.57479,1.03184,0,0.88649,0.79049,0.8486,0.68932,0.74902,0.6111,0.66899,0.36421,0.8295,3.35545,0.75539,1.21726,0,0.000709809,0.000709809,0.000709809
60,1180.24,0.70477,1.77069,0.59039,1.00754,0,0.90935,0.73887,0.8543,0.69574,0.76503,0.61437,0.66284,0.3798,0.80307,3.25827,0.74383,1.19955,0,0.000693305,0.000693305,0.000693305
61,1199.91,0.67237,1.64558,0.56354,1.00954,0,0.91054,0.74494,0.84095,0.70355,0.79691,0.62955,0.65658,0.36379,0.82694,3.31012,0.73971,1.21888,0,0.000676802,0.000676802,0.000676802
62,1219.6,0.70377,1.62236,0.56174,1.01487,0,0.98788,0.74494,0.84523,0.69507,0.7698,0.60022,0.62273,0.33687,0.8201,3.45594,0.72834,1.21002,0,0.000660299,0.000660299,0.000660299
63,1239.36,0.69846,1.65005,0.57091,1.00954,0,0.96461,0.78213,0.8743,0.70052,0.80686,0.63237,0.65301,0.33468,0.83895,3.59359,0.69282,1.22805,0,0.000643795,0.000643795,0.000643795
64,1259.5,0.67715,1.58235,0.5544,1.01414,0,0.95574,0.79435,0.8945,0.70821,0.77953,0.64879,0.65268,0.34078,0.83541,3.77006,0.68485,1.25906,0,0.000627292,0.000627292,0.000627292
65,1279.95,0.67915,1.63884,0.54374,0.99625,0,0.94245,0.77733,0.85888,0.69449,0.79988,0.64879,0.67998,0.36943,0.82031,3.71115,0.76912,1.22677,0,0.000610789,0.000610789,0.000610789
66,1299.68,0.67808,1.66927,0.54059,0.9892,0,0.94774,0.73785,0.85803,0.69175,0.82443,0.62247,0.6796,0.35491,0.80149,3.743,0.76665,1.19117,0,0.000594286,0.000594286,0.000594286
67,1319.38,0.67236,1.64025,0.54816,0.99699,0,0.86685,0.82842,0.8535,0.71179,0.81075,0.66194,0.65737,0.35553,0.81979,3.42742,0.73545,1.17656,0,0.000577782,0.000577782,0.000577782
68,1338.98,0.65071,1.58772,0.53185,0.98888,0,0.89971,0.77086,0.8658,0.70326,0.76151,0.62348,0.6729,0.35534,0.82706,3.82354,0.73459,1.18746,0,0.000561279,0.000561279,0.000561279
69,1358.64,0.63961,1.65659,0.52272,0.96643,0,0.96234,0.73632,0.84469,0.69838,0.78442,0.61032,0.61471,0.32959,0.805,3.82227,0.74594,1.18818,0,0.000544776,0.000544776,0.000544776
70,1378.28,0.64351,1.60225,0.52005,0.9771,0,0.8778,0.84866,0.87855,0.71177,0.71375,0.66078,0.6274,0.37267,0.78835,3.65476,0.64453,1.16875,0,0.000528272,0.000528272,0.000528272
71,1397.85,0.59715,1.50294,0.49326,0.9955,0,0.98092,0.80062,0.88231,0.72141,0.82243,0.62048,0.64824,0.3528,0.83901,3.34097,0.65225,1.19909,0,0.000511769,0.000511769,0.000511769
72,1417.47,0.63705,1.66608,0.52964,0.96467,0,0.95621,0.78953,0.88267,0.72533,0.80133,0.64482,0.65547,0.35873,0.8186,3.18621,0.64461,1.19724,0,0.000495266,0.000495266,0.000495266
73,1437.05,0.61614,1.52729,0.5091,0.99269,0,0.96653,0.73314,0.86579,0.72348,0.78167,0.62348,0.62103,0.35002,0.81536,3.26165,0.65363,1.22699,0,0.000478762,0.000478762,0.000478762
